Release,Supplier, Review,Tag Number,QTY Released,Unit,Size,Description,Material,Lining,Coating,Release Date,Due Date,Area,System,Contract Dwg,System2,Shop Dwg,Delivered QTY,Need QTY,Received On,Received By,Storage Location,Notes,Estimate Cost,Contract Unit Price,Contract Extended Price,Above/Below,Invoice No.,Invoice Unit Price,Invoice Extended Price,Delta (Invoice-Contract),QTY Invoiced to Date,,
1,KAT,,104.2-30-01,420,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 2,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,189,231,,,,"40 LF del 4/20/26
20 LF del 5/4/26
129.2 LF del 5/11/26
160 LF del 7/10/26",, $405.62 ," $170,360.40 ",Below,4194(2);3810;4132;4179(157), $405.62 ," $76,743.30 "," $(93,617.10)",263,"7/1/2026 (1) (Gauged) Trains 3&4 Mixed Liquor (Gore), 7/15/2026 (2) Gauged Trains 3&4 Mixed Liquor (Gore), 7/29/2026 (15)  BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman), 7/29/2026 (5 Gauged)  BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman)",
1,KAT,,104.2-30-02,5,EA,"30""","30"" MJ 45 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 2,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,5, ,5/4/2026,David Nigro,Pipe Laydown,,," $5,836.00 "," $29,180.00 ",Below,3858(5)," $5,836.00 "," $29,180.00 ", $-   ,5,7/15/2026 (1) BNR 1&2 (Staley),
1,KAT,,104.2-30-03,10,EA,"30""","30"" Megalug w/ Accessory Kit",,,,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 2,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,10, ,6/1/2026,David Nigro,Pipe Laydown,,," $1,061.00 "," $10,610.00 ",Below,3885," $1,061.00 "," $10,610.00 ", $-   ,,"7/1/2026 (4) TRains 3&4 Mixed Liquor (Gore), 7/29/2026 (6)  BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman)",
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,,104.3-30-01,60,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 3 and 4 to Clarifier 3,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,54,6,5/14/2026,David Nigro,Pipe Laydown,54 LF del 5/14/26,, $405.62 ," $24,337.20 ",Below,3905(59);4132(59);4194(2), $405.62 ," $21,903.48 "," $(2,433.72)",120,6/2/2026 (1 Gauged) BNR 2 Southside (Staley)  6/22/2026 (1 Gauged) BNR 1&2 - Clarifier 1&2 (Staley),
,,,,,,,,,,,,```,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,,104.4-30-01,60,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 3 and 4 to Clarifier 4,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,54,6,5/14/2026,David Nigro,Pipe Laydown,54 LF del 5/14/26,, $405.62 ," $24,337.20 ",Below,3905;4132; 3899 (1);4281(18), $405.62 ," $21,903.48 "," $(2,433.72)",19,,
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,,104.5-30-01,40,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 5 and 6 to Clarifier 5,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,18,22,5/14/2026,David Nigro,Pipe Laydown,18 LF del 5/14/26,, $405.62 ," $16,224.80 ",Below,3905(18);4132(39);4194(1), $405.62 ," $7,301.16 "," $(8,923.64)",58,6/22/2026 (1 Gauged) BNR 1&2 to Clarifier 1&2 (Staley),
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,,104.6-30-01,120,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 5 and 6 to Clarifier 6,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,55,65,,David Nigro,Pipe Laydown,"36.89 LF del 5/11/26
18.51 LF del 5/11/26",, $405.62 ," $48,674.40 ",Below,4132(38);4194(68), $405.62 ," $22,471.35 "," $(26,203.05)",106,6/22/2026 (1 Gauged) BNR 1&2 to Clarifier 1&2 (Staley) 7/1/2026 (1) (Gauged) Trains 3&4 Mixed Liquor (Gore),
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,ok,116.1U-12-01,12,EA,"12"" x 15'-00""","CL51 FLGxWCxMJ - FLG TFS NPT WC 14"" FROM FLG - MJ SIDE NOT TAPPED",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 - 6,"12"" Drains BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",Drain,,12, ,5/12/2026,David Nigro,Pipe Laydown,,," $5,077.60 "," $60,931.20 ",Below,3899(12)," $5,077.60 "," $60,931.20 ", $-   ,12,7/31/2026 (2) 12” BNR Drains (Gore),
1,KAT,I got 528,116.1U-12-02,300,LF,"12""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 - 6,"12"" Drains BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",Drain,,300, ,5/29/2026,Pablo Chapellin,Pipe Laydown,"60 LF del 5/4/26
240 LF del 5/29/26",, $119.67 ," $35,901.00 ",Below,3858(60); 3979(240), $119.67 ," $35,901.00 ", $-   ,360,7/31/20026 (2) 12” BNR Drains (Gore),
1,KAT,We need 25,116.1U-12-03,12,EA,"12""","12"" MJ WYE",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 - 6,"12"" Drains BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",Drain,,12, ,5/4/2026,David Nigro,Pipe Laydown,,," $2,144.00 "," $25,728.00 ",Below,3858(12),, $-   , $-   ,12,7/31/2026 (4) 12” BNR Drains (Gore),
1,KAT,We need 25,116.1U-12-04,12,EA,"12""","12"" MJ 45 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 - 6,"12"" Drains BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",Drain,,12, ,5/4/2026,David Nigro,Pipe Laydown,,, $943.00 ," $11,316.00 ",Below,3858(12),, $-   , $-   ,12,7/31/2026 (6) 12” BNR Drains (Gore),
1,KAT,I got 149,116.1U-12-08,115,EA,"12""","12"" Megalug w/ Accessory Kit",,,,2/19/2026,3/9/2026,BNR 1 - 6,"12"" Drains BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",Drain,,115, ,6/1/2026,David Nigro,Pipe Laydown,,, $124.00 ," $14,260.00 ",Below,3885, $124.00 ," $14,260.00 ", $-   ,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
